rewrite,nom_ville,nbre_car
menetreux-le-pitois,Ménétreux-le-Pitois,19
merceuil,Merceuil,8
mesmont,Mesmont,7
messanges,Messanges,9
messigny-et-vantoux,Messigny-et-Vantoux,19
meuilley,Meuilley,8
meulson,Meulson,7
meursanges,Meursanges,10
meursault,Meursault,9
millery,Millery,7
mimeure,Mimeure,7
minot,Minot,5
mirebeau-sur-beze,Mirebeau-sur-Bèze,17
missery,Missery,7
moitron,Moitron,7
molesme,Molesme,7
molinot,Molinot,7
moloy,Moloy,5
molphey,Molphey,7
mont-saint-jean,Mont-Saint-Jean,15
montagny-les-beaune,Montagny-lès-Beaune,19
montagny-les-seurre,Montagny-lès-Seurre,19
montbard,Montbard,8
montberthault,Montberthault,13
montceau-et-echarnant,Montceau-et-Echarnant,21
monthelie,Monthelie,9
montigny-montfort,Montigny-Montfort,17
montigny-mornay-villeneuve-sur-vingeanne,Montigny-Mornay-Villeneuve-sur-Vingeanne,40
montigny-saint-barthelemy,Montigny-Saint-Barthélemy,25
montigny-sur-armancon,Montigny-sur-Armançon,21
montigny-sur-aube,Montigny-sur-Aube,17
montlay-en-auxois,Montlay-en-Auxois,17
montliot-et-courcelles,Montliot-et-Courcelles,22
montmain,Montmain,8
montmancon,Montmançon,10
montmoyen,Montmoyen,9
montoillot,Montoillot,10
montot,Montot,6
morey-saint-denis,Morey-Saint-Denis,17
mosson,Mosson,6
moutiers-saint-jean,Moutiers-Saint-Jean,19
musigny,Musigny,7
mussy-la-fosse,Mussy-la-Fosse,14
nan-sous-thil,Nan-sous-Thil,13
nantoux,Nantoux,7
nesle-et-massoult,Nesle-et-Massoult,17
neuilly-les-dijon,Neuilly-lès-Dijon,17
nicey,Nicey,5
nod-sur-seine,Nod-sur-Seine,13
nogent-les-montbard,Nogent-lès-Montbard,19
noidan,Noidan,6
noiron-sous-gevrey,Noiron-sous-Gevrey,18
noiron-sur-beze,Noiron-sur-Bèze,15
noiron-sur-seine,Noiron-sur-Seine,16
nolay,Nolay,5
norges-la-ville,Norges-la-Ville,15
normier,Normier,7
nuits-saint-georges,Nuits-Saint-Georges,19
obtree,Obtrée,6
oigny,Oigny,5
oisilly,Oisilly,7
orain,Orain,5
orgeux,Orgeux,6
origny,Origny,6
orret,Orret,5
orville,Orville,7
ouges,Ouges,5
pagny-la-ville,Pagny-la-Ville,14
pagny-le-chateau,Pagny-le-Château,16
painblanc,Painblanc,9
panges,Panges,6
pasques,Pasques,7
pellerey,Pellerey,8
pernand-vergelesses,Pernand-Vergelesses,19
perrigny-les-dijon,Perrigny-lès-Dijon,18
perrigny-sur-l-ognon,Perrigny-sur-l'Ognon,20
pichanges,Pichanges,9
planay,Planay,6
plombieres-les-dijon,Plombières-lès-Dijon,20
pluvault,Pluvault,8
pluvet,Pluvet,6
poincon-les-larrey,Poinçon-lès-Larrey,18
poiseul-la-grange,Poiseul-la-Grange,17
poiseul-la-ville-et-laperriere,Poiseul-la-Ville-et-Laperrière,30
poiseul-les-saulx,Poiseul-lès-Saulx,17
pommard,Pommard,7
poncey-les-athee,Poncey-lès-Athée,16
poncey-sur-l-ignon,Poncey-sur-l'Ignon,18
pont,Pont,4
pont-et-massene,Pont-et-Massène,15
pontailler-sur-saone,Pontailler-sur-Saône,20
posanges,Posanges,8
pothieres,Pothières,9
pouillenay,Pouillenay,10
pouilly-en-auxois,Pouilly-en-Auxois,17
pouilly-sur-saone,Pouilly-sur-Saône,17
pouilly-sur-vingeanne,Pouilly-sur-Vingeanne,21
pralon,Prâlon,6
precy-sous-thil,Précy-sous-Thil,15
premeaux-prissey,Premeaux-Prissey,16
premieres,Premières,9
prenois,Prenois,7
prusly-sur-ource,Prusly-sur-Ource,16
puits,Puits,5
puligny-montrachet,Puligny-Montrachet,18
quemigny-poisot,Quemigny-Poisot,15
quemigny-sur-seine,Quemigny-sur-Seine,18
quetigny,Quetigny,8
quincerot,Quincerot,9
quincey,Quincey,7
quincy-le-vicomte,Quincy-le-Vicomte,17
recey-sur-ource,Recey-sur-Ource,15
remilly-en-montagne,Remilly-en-Montagne,19
remilly-sur-tille,Remilly-sur-Tille,17
reneve,Renève,6
reulle-vergy,Reulle-Vergy,12
riel-les-eaux,Riel-les-Eaux,13
rochefort-sur-brevon,Rochefort-sur-Brévon,20
roilly,Roilly,6
rougemont,Rougemont,9
rouvray,Rouvray,7
rouvres-en-plaine,Rouvres-en-Plaine,17
rouvres-sous-meilly,Rouvres-sous-Meilly,19
ruffey-les-beaune,Ruffey-lès-Beaune,17
ruffey-les-echirey,Ruffey-lès-Echirey,18
sacquenay,Sacquenay,9
saffres,Saffres,7
saint-andeux,Saint-Andeux,12
saint-anthot,Saint-Anthot,12
saint-apollinaire,Saint-Apollinaire,17
saint-aubin,Saint-Aubin,11
saint-bernard,Saint-Bernard,13
saint-broing-les-moines,Saint-Broing-les-Moines,23
saint-didier,Saint-Didier,12
saint-euphrone,Saint-Euphrône,14
saint-germain-de-modeon,Saint-Germain-de-Modéon,23
saint-germain-le-rocheux,Saint-Germain-le-Rocheux,24
saint-germain-les-senailly,Saint-Germain-lès-Senailly,26
saint-helier,Saint-Hélier,12
saint-jean-de-boeuf,Saint-Jean-de-Boeuf,19
saint-jean-de-losne,Saint-Jean-de-Losne,19
saint-julien,Saint-Julien,12
saint-leger-triey,Saint-Léger-Triey,17
saint-marc-sur-seine,Saint-Marc-sur-Seine,20
saint-martin-de-la-mer,Saint-Martin-de-la-Mer,22
saint-martin-du-mont,Saint-Martin-du-Mont,20
saint-maurice-sur-vingeanne,Saint-Maurice-sur-Vingeanne,27
saint-mesmin,Saint-Mesmin,12
saint-nicolas-les-citeaux,Saint-Nicolas-lès-Cîteaux,25
saint-philibert,Saint-Philibert,15
saint-pierre-en-vaux,Saint-Pierre-en-Vaux,20
saint-prix-les-arnay,Saint-Prix-lès-Arnay,20
saint-remy,Saint-Rémy,10
saint-romain,Saint-Romain,12
saint-sauveur,Saint-Sauveur,13
saint-seine-en-bache,Saint-Seine-en-Bâche,20
saint-seine-l-abbaye,Saint-Seine-l'Abbaye,20
saint-seine-sur-vingeanne,Saint-Seine-sur-Vingeanne,25
saint-symphorien-sur-saone,Saint-Symphorien-sur-Saône,26
saint-thibault,Saint-Thibault,14
saint-usage,Saint-Usage,11
saint-victor-sur-ouche,Saint-Victor-sur-Ouche,22
sainte-colombe-en-auxois,Sainte-Colombe-en-Auxois,24
sainte-colombe-sur-seine,Sainte-Colombe-sur-Seine,24
sainte-marie-la-blanche,Sainte-Marie-la-Blanche,23
sainte-marie-sur-ouche,Sainte-Marie-sur-Ouche,22
sainte-sabine,Sainte-Sabine,13
salives,Salives,7
salmaise,Salmaise,8
samerey,Samerey,7
santenay,Santenay,8
santosse,Santosse,8
saulieu,Saulieu,7
saulon-la-chapelle,Saulon-la-Chapelle,18
saulon-la-rue,Saulon-la-Rue,13
saulx-le-duc,Saulx-le-Duc,12
saussey,Saussey,7
saussy,Saussy,6
savigny-le-sec,Savigny-le-Sec,14
savigny-les-beaune,Savigny-lès-Beaune,18
savigny-sous-malain,Savigny-sous-Mâlain,19
savilly,Savilly,7
savoisy,Savoisy,7
savolles,Savolles,8
savouges,Savouges,8
segrois,Segrois,7
seigny,Seigny,6
selongey,Selongey,8
semarey,Semarey,7
semezanges,Semezanges,10
semond,Semond,6
semur-en-auxois,Semur-en-Auxois,15
senailly,Senailly,8
sennecey-les-dijon,Sennecey-lès-Dijon,18
seurre,Seurre,6
sincey-les-rouvray,Sincey-lès-Rouvray,18
soirans,Soirans,7
soissons-sur-nacey,Soissons-sur-Nacey,18
sombernon,Sombernon,9
souhey,Souhey,6
soussey-sur-brionne,Soussey-sur-Brionne,19
spoy,Spoy,4
sussey,Sussey,6
tailly,Tailly,6
talant,Talant,6
talmay,Talmay,6
tanay,Tanay,5
tarsul,Tarsul,6
tart-l-abbaye,Tart-l'Abbaye,13
tart-le-bas,Tart-le-Bas,11
tart-le-haut,Tart-le-Haut,12
tellecey,Tellecey,8
ternant,Ternant,7
terrefondree,Terrefondrée,12
thenissey,Thenissey,9
thoires,Thoires,7
thoisy-la-berchere,Thoisy-la-Berchère,18
thoisy-le-desert,Thoisy-le-Désert,16
thomirey,Thomirey,8
thorey-en-plaine,Thorey-en-Plaine,16
thorey-sous-charny,Thorey-sous-Charny,18
thorey-sur-ouche,Thorey-sur-Ouche,16
thoste,Thoste,6
thury,Thury,5
tichey,Tichey,6
til-chatel,Til-Châtel,10
tillenay,Tillenay,8
torcy-et-pouligny,Torcy-et-Pouligny,17
touillon,Touillon,8
toutry,Toutry,6
treclun,Tréclun,7
trocheres,Trochères,9
trouhans,Trouhans,8
trouhaut,Trouhaut,8
trugny,Trugny,6
turcey,Turcey,6
uncey-le-franc,Uncey-le-Franc,14
urcy,Urcy,4
val-suzon,Val-Suzon,9
vandenesse-en-auxois,Vandenesse-en-Auxois,20
vannaire,Vannaire,8
vanvey,Vanvey,6
varanges,Varanges,8
varois-et-chaignot,Varois-et-Chaignot,18
vauchignon,Vauchignon,10
vaux-saules,Vaux-Saules,11
veilly,Veilly,6
velars-sur-ouche,Velars-sur-Ouche,16
velogny,Velogny,7
venarey-les-laumes,Venarey-les-Laumes,18
verdonnet,Verdonnet,9
vernois-les-vesvres,Vernois-lès-Vesvres,19
vernot,Vernot,6
veronnes,Véronnes,8
verrey-sous-dree,Verrey-sous-Drée,16
verrey-sous-salmaise,Verrey-sous-Salmaise,20
vertault,Vertault,8
vesvres,Vesvres,7
veuvey-sur-ouche,Veuvey-sur-Ouche,16
veuxhaulles-sur-aube,Veuxhaulles-sur-Aube,20
vianges,Vianges,7
vic-de-chassenay,Vic-de-Chassenay,16
vic-des-pres,Vic-des-Prés,12
vic-sous-thil,Vic-sous-Thil,13
vieilmoulin,Vieilmoulin,11
vielverge,Vielverge,9
vieux-chateau,Vieux-Château,13
vievigne,Viévigne,8
vievy,Viévy,5
vignoles,Vignoles,8
villaines-en-duesmois,Villaines-en-Duesmois,21
villaines-les-prevotes,Villaines-les-Prévôtes,22
villargoix,Villargoix,10
villars-et-villenotte,Villars-et-Villenotte,21
villars-fontaine,Villars-Fontaine,16
villeberny,Villeberny,10
villebichot,Villebichot,11
villecomte,Villecomte,10
villedieu,Villedieu,9
villeferry,Villeferry,10
villeneuve-sous-charigny,Villeneuve-sous-Charigny,24
villers-la-faye,Villers-la-Faye,15
villers-les-pots,Villers-les-Pots,16
villers-patras,Villers-Patras,14
villers-rotin,Villers-Rotin,13
villey-sur-tille,Villey-sur-Tille,16
villiers-en-morvan,Villiers-en-Morvan,18
villiers-le-duc,Villiers-le-Duc,15
villotte-saint-seine,Villotte-Saint-Seine,20
villotte-sur-ource,Villotte-sur-Ource,18
villy-en-auxois,Villy-en-Auxois,15
villy-le-moutier,Villy-le-Moutier,16
viserny,Viserny,7
vitteaux,Vitteaux,8
vix,Vix,3
volnay,Volnay,6
vonges,Vonges,6
vosne-romanee,Vosne-Romanée,13
voudenay,Voudenay,8
vougeot,Vougeot,7
voulaines-les-templiers,Voulaines-les-Templiers,23
allineuc,Allineuc,8
andel,Andel,5
aucaleuc,Aucaleuc,8
begard,Bégard,6
belle-isle-en-terre,Belle-Isle-en-Terre,19
berhet,Berhet,6
binic,Binic,5
bobital,Bobital,7
boqueho,Boquého,7
bourbriac,Bourbriac,9
bourseul,Bourseul,8
brehand,Bréhand,7
brelidy,Brélidy,7
bringolo,Bringolo,8
broons,Broons,6
brusvily,Brusvily,8
bulat-pestivien,Bulat-Pestivien,15
calanhel,Calanhel,8
callac,Callac,6
calorguen,Calorguen,9
camlez,Camlez,6
canihuel,Canihuel,8
caouennec-lanvezeac,Caouënnec-Lanvézéac,19
carnoet,Carnoët,7
caulnes,Caulnes,7
caurel,Caurel,6
cavan,Cavan,5
chatelaudren,Châtelaudren,12
coadout,Coadout,7
coatascorn,Coatascorn,10
coatreven,Coatréven,9
coetlogon,Coëtlogon,9
coetmieux,Coëtmieux,9
cohiniac,Cohiniac,8
collinee,Collinée,8
corlay,Corlay,6
corseul,Corseul,7
crehen,Créhen,6
dinan,Dinan,5
dolo,Dolo,4
duault,Duault,6
ereac,Eréac,5
erquy,Erquy,5
etables-sur-mer,Etables-sur-Mer,15
evran,Evran,5
frehel,Fréhel,6
gausson,Gausson,7
glomel,Glomel,6
gomene,Gomené,6
gommenec-h,Gommenec'h,10
gouarec,Gouarec,7
goudelin,Goudelin,8
grace-uzel,Grâce-Uzel,10
graces,Grâces,6
guenroc,Guenroc,7
guingamp,Guingamp,8
guitte,Guitté,6
gurunhuel,Gurunhuel,9
hemonstoir,Hémonstoir,10
henanbihen,Hénanbihen,10
henansal,Hénansal,8
hengoat,Hengoat,7
henon,Hénon,5
hillion,Hillion,7
ile-de-brehat,Ile-de-Bréhat,13
illifaut,Illifaut,8
jugon-les-lacs,Jugon-les-Lacs,14
kerbors,Kerbors,7
kerfot,Kerfot,6
kergrist-moelou,Kergrist-Moëlou,15
kerien,Kerien,6
kermaria-sulard,Kermaria-Sulard,15
kermoroc-h,Kermoroc'h,10
kerpert,Kerpert,7
l-hermitage-lorge,L'Hermitage-Lorge,17
la-bouillie,"La Bouillie",11
la-chapelle-blanche,"La Chapelle-Blanche",19
la-chapelle-neuve,"La Chapelle-Neuve",17
la-cheze,"La Chèze",8
la-ferriere,"La Ferrière",11
la-harmoye,"La Harmoye",10
la-landec,"La Landec",9
la-malhoure,"La Malhoure",11
la-meaugon,"La Méaugon",10
la-motte,"La Motte",8
la-prenessaye,"La Prénessaye",13
la-roche-derrien,"La Roche-Derrien",16
la-vicomte-sur-rance,"La Vicomté-sur-Rance",20
lamballe,Lamballe,8
lancieux,Lancieux,8
landebaeron,Landebaëron,11
landebia,Landébia,8
landehen,Landéhen,8
lanfains,Lanfains,8
langast,Langast,7
langoat,Langoat,7
langourla,Langourla,9
langrolay-sur-rance,Langrolay-sur-Rance,19
languedias,Languédias,10
languenan,Languenan,9
langueux,Langueux,8
laniscat,Laniscat,8
lanleff,Lanleff,7
lanloup,Lanloup,7
lanmerin,Lanmérin,8
lanmodez,Lanmodez,8
lannebert,Lannebert,9
lannion,Lannion,7
lanrelas,Lanrelas,8
lanrivain,Lanrivain,9
lanrodec,Lanrodec,8
lantic,Lantic,6
lanvallay,Lanvallay,9
lanvellec,Lanvellec,9
lanvollon,Lanvollon,9
laurenan,Laurenan,8
le-bodeo,"Le Bodéo",8
le-cambout,"Le Cambout",10
le-faouet,"Le Faouët",9
le-foeil,"Le Foeil",8
le-gouray,"Le Gouray",9
le-haut-corlay,"Le Haut-Corlay",14
le-hingle,"Le Hinglé",9
le-leslay,"Le Leslay",9
le-merzer,"Le Merzer",9
le-moustoir,"Le Moustoir",11
le-quillio,"Le Quillio",10
le-quiou,"Le Quiou",8
le-vieux-bourg,"Le Vieux-Bourg",14
le-vieux-marche,"Le Vieux-Marché",15
lehon,Léhon,5
les-champs-geraux,"Les Champs-Géraux",17
lescouet-gouarec,Lescouët-Gouarec,16
lezardrieux,Lézardrieux,11
loc-envel,Loc-Envel,9
locarn,Locarn,6
loguivy-plougras,Loguivy-Plougras,16
lohuec,Lohuec,6
loscouet-sur-meu,Loscouët-sur-Meu,16
louannec,Louannec,8
louargat,Louargat,8
loudeac,Loudéac,7
mael-carhaix,Maël-Carhaix,12
mael-pestivien,Maël-Pestivien,14
magoar,Magoar,6
mantallot,Mantallot,9
matignon,Matignon,8
megrit,Mégrit,6
mellionnec,Mellionnec,10
merdrignac,Merdrignac,10
merillac,Mérillac,8
merleac,Merléac,7
meslin,Meslin,6
minihy-treguier,Minihy-Tréguier,15
moncontour,Moncontour,10
morieux,Morieux,7
mousteru,Moustéru,8
mur-de-bretagne,Mûr-de-Bretagne,15
noyal,Noyal,5
pabu,Pabu,4
paimpol,Paimpol,7
paule,Paule,5
pedernec,Pédernec,8
penguily,Penguily,8
penvenan,Penvénan,8
perret,Perret,6
perros-guirec,Perros-Guirec,13
peumerit-quintin,Peumerit-Quintin,16
plaine-haute,Plaine-Haute,12
plaintel,Plaintel,8
plancoet,Plancoët,8
planguenoual,Planguenoual,12
pleboulle,Pléboulle,9
pledeliac,Plédéliac,9
pledran,Plédran,7
pleguien,Pléguien,8
plehedel,Pléhédel,8
plelan-le-petit,Plélan-le-Petit,15
plelauff,Plélauff,8
plelo,Plélo,5
plemet,Plémet,6
plemy,Plémy,5
plenee-jugon,Plénée-Jugon,12
pleneuf-val-andre,Pléneuf-Val-André,17
plerin,Plérin,6
plerneuf,Plerneuf,8
plesidy,Plésidy,7
pleslin-trigavou,Pleslin-Trigavou,16
plessala,Plessala,8
plessix-balisson,Plessix-Balisson,16
plestan,Plestan,7
plestin-les-greves,Plestin-les-Grèves,18
pleubian,Pleubian,8
pleudaniel,Pleudaniel,10
pleudihen-sur-rance,Pleudihen-sur-Rance,19
pleumeur-bodou,Pleumeur-Bodou,14
pleumeur-gautier,Pleumeur-Gautier,16
pleven,Pléven,6
plevin,Plévin,6
ploeuc-sur-lie,Ploeuc-sur-Lié,14
ploezal,Ploëzal,7
plorec-sur-arguenon,Plorec-sur-Arguenon,19
plouagat,Plouagat,8
plouaret,Plouaret,8
plouasne,Plouasne,8
ploubalay,Ploubalay,9
ploubazlanec,Ploubazlanec,12
ploubezre,Ploubezre,9
plouec-du-trieux,Plouëc-du-Trieux,16
plouer-sur-rance,Plouër-sur-Rance,16
plouezec,Plouézec,8
ploufragan,Ploufragan,10
plougonver,Plougonver,10
plougras,Plougras,8
plougrescant,Plougrescant,12
plouguenast,Plouguenast,11
plouguernevel,Plouguernével,13
plouguiel,Plouguiel,9
plouha,Plouha,6
plouisy,Plouisy,7
ploulec-h,Ploulec'h,9
ploumagoar,Ploumagoar,10
ploumilliau,Ploumilliau,11
plounerin,Plounérin,9
plounevez-moedec,Plounévez-Moëdec,16
plounevez-quintin,Plounévez-Quintin,17
plourac-h,Plourac'h,9
plourhan,Plourhan,8
plourivo,Plourivo,8
plouvara,Plouvara,8
plouzelambre,Plouzélambre,12
pludual,Pludual,7
pluduno,Pluduno,7
plufur,Plufur,6
plumaudan,Plumaudan,9
plumaugat,Plumaugat,9
plumieux,Plumieux,8
plurien,Plurien,7
plusquellec,Plusquellec,11
plussulien,Plussulien,10
pluzunet,Pluzunet,8
pommeret,Pommeret,8
pommerit-jaudy,Pommerit-Jaudy,14
pommerit-le-vicomte,Pommerit-le-Vicomte,19
pont-melvez,Pont-Melvez,11
pontrieux,Pontrieux,9
pordic,Pordic,6
pouldouran,Pouldouran,10
prat,Prat,4
quemper-guezennec,Quemper-Guézennec,17
quemperven,Quemperven,10
quessoy,Quessoy,7
quevert,Quévert,7
quintenic,Quintenic,9
quintin,Quintin,7
rospez,Rospez,6
rostrenen,Rostrenen,9
rouillac,Rouillac,8
ruca,Ruca,4
runan,Runan,5
saint-adrien,Saint-Adrien,12
saint-agathon,Saint-Agathon,13
saint-alban,Saint-Alban,11
saint-andre-des-eaux,Saint-André-des-Eaux,20
saint-barnabe,Saint-Barnabé,13
saint-bihy,Saint-Bihy,10
saint-brandan,Saint-Brandan,13
saint-brieuc,Saint-Brieuc,12
saint-caradec,Saint-Caradec,13
saint-carne,Saint-Carné,11
saint-carreuc,Saint-Carreuc,13
saint-cast-le-guildo,Saint-Cast-le-Guildo,20
saint-clet,Saint-Clet,10
saint-connan,Saint-Connan,12
saint-connec,Saint-Connec,12
saint-denoual,Saint-Denoual,13
saint-donan,Saint-Donan,11
saint-etienne-du-gue-de-l-isle,Saint-Etienne-du-Gué-de-l'Isle,30
saint-fiacre,Saint-Fiacre,12
saint-gelven,Saint-Gelven,12
saint-gildas,Saint-Gildas,12
saint-gilles-du-mene,Saint-Gilles-du-Mené,20
saint-gilles-les-bois,Saint-Gilles-les-Bois,21
saint-gilles-pligeaux,Saint-Gilles-Pligeaux,21
saint-gilles-vieux-marche,Saint-Gilles-Vieux-Marché,25
saint-glen,Saint-Glen,10
saint-goueno,Saint-Gouéno,12
saint-guen,Saint-Guen,10
saint-helen,Saint-Hélen,11
saint-herve,Saint-Hervé,11
saint-igeaux,Saint-Igeaux,12
saint-jacut-de-la-mer,Saint-Jacut-de-la-Mer,21
saint-jacut-du-mene,Saint-Jacut-du-Mené,19
saint-jean-kerdaniel,Saint-Jean-Kerdaniel,20
saint-jouan-de-l-isle,Saint-Jouan-de-l'Isle,21
saint-judoce,Saint-Judoce,12
saint-julien,Saint-Julien,12
saint-juvat,Saint-Juvat,11
saint-launeuc,Saint-Launeuc,13
saint-laurent,Saint-Laurent,13
saint-lormel,Saint-Lormel,12
saint-maden,Saint-Maden,11
saint-martin-des-pres,Saint-Martin-des-Prés,21
saint-maudan,Saint-Maudan,12
saint-maudez,Saint-Maudez,12
saint-mayeux,Saint-Mayeux,12
saint-meloir-des-bois,Saint-Méloir-des-Bois,21
saint-michel-de-plelan,Saint-Michel-de-Plélan,22
saint-michel-en-greve,Saint-Michel-en-Grève,21
saint-nicodeme,Saint-Nicodème,14
saint-nicolas-du-pelem,Saint-Nicolas-du-Pélem,22
saint-pever,Saint-Péver,11
saint-potan,Saint-Pôtan,11
saint-quay-perros,Saint-Quay-Perros,17
saint-quay-portrieux,Saint-Quay-Portrieux,20
saint-rieul,Saint-Rieul,11
saint-samson-sur-rance,Saint-Samson-sur-Rance,22
saint-servais,Saint-Servais,13
saint-thelo,Saint-Thélo,11
saint-trimoel,Saint-Trimoël,13
saint-vran,Saint-Vran,10
sainte-trephine,Sainte-Tréphine,15
senven-lehart,Senven-Léhart,13
sevignac,Sévignac,8
squiffiec,Squiffiec,9
taden,Taden,5
tonquedec,Tonquédec,9
tramain,Tramain,7
trebedan,Trébédan,8
trebeurden,Trébeurden,10
trebrivan,Trébrivan,9
trebry,Trébry,6
tredaniel,Trédaniel,9
tredarzec,Trédarzec,9
tredias,Trédias,7
tredrez-locquemeau,Trédrez-Locquémeau,18
treduder,Tréduder,8
treffrin,Treffrin,8
trefumel,Tréfumel,8
tregastel,Trégastel,9
treglamus,Tréglamus,9
tregomeur,Trégomeur,9
tregon,Trégon,6
tregonneau,Trégonneau,10
tregrom,Trégrom,7
tregueux,Trégueux,8
treguidel,Tréguidel,9
treguier,Tréguier,8
trelevern,Trélévern,9
trelivan,Trélivan,8
tremargat,Trémargat,9
tremel,Trémel,6
tremeloir,Tréméloir,9
tremereuc,Tréméreuc,9
tremeur,Trémeur,7
tremeven,Tréméven,8
tremorel,Trémorel,8
tremuson,Trémuson,8
treogan,Tréogan,7
tressignaux,Tressignaux,11
treve,Trévé,5
treveneuc,Tréveneuc,9
treverec,Trévérec,8
trevou-treguignec,Trévou-Tréguignec,17
trevron,Trévron,7
trezeny,Trézény,7
troguery,Troguéry,8
uzel,Uzel,4
vilde-guingalan,Vildé-Guingalan,15
yffiniac,Yffiniac,8
yvias,Yvias,5
yvignac-la-tour,Yvignac-la-Tour,15
ahun,Ahun,4
ajain,Ajain,5
alleyrat,Alleyrat,8
anzeme,Anzême,6
arfeuille-chatain,Arfeuille-Châtain,17
arrenes,Arrènes,7
ars,Ars,3
aubusson,Aubusson,8
auge,Auge,4
augeres,Augères,7
aulon,Aulon,5
auriat,Auriat,6
auzances,Auzances,8
azat-chatenet,Azat-Châtenet,13
azerables,Azerables,9
banize,Banize,6
basville,Basville,8
bazelat,Bazelat,7
beissat,Beissat,7
bellegarde-en-marche,Bellegarde-en-Marche,20
benevent-l-abbaye,Bénévent-l'Abbaye,17
betete,Bétête,6
blaudeix,Blaudeix,8
blessac,Blessac,7
bonnat,Bonnat,6
bord-saint-georges,Bord-Saint-Georges,18
bosmoreau-les-mines,Bosmoreau-les-Mines,19
bosroger,Bosroger,8
bourganeuf,Bourganeuf,10
boussac,Boussac,7
boussac-bourg,Boussac-Bourg,13
brousse,Brousse,7
budeliere,Budelière,9
bussiere-dunoise,Bussière-Dunoise,16
bussiere-nouvelle,Bussière-Nouvelle,17
bussiere-saint-georges,Bussière-Saint-Georges,22
ceyroux,Ceyroux,7
chamberaud,Chamberaud,10
chambon-sainte-croix,Chambon-Sainte-Croix,20
chambon-sur-voueize,Chambon-sur-Voueize,19
chambonchard,Chambonchard,12
chamborand,Chamborand,10
champagnat,Champagnat,10
champsanglard,Champsanglard,13
chard,Chard,5
charron,Charron,7
chatelard,Châtelard,9
chatelus-le-marcheix,Châtelus-le-Marcheix,20
chatelus-malvaleix,Châtelus-Malvaleix,18
chavanat,Chavanat,8
chenerailles,Chénérailles,12
cheniers,Chéniers,8
clairavaux,Clairavaux,10
clugnat,Clugnat,7
colondannes,Colondannes,11
cressat,Cressat,7
crocq,Crocq,5
crozant,Crozant,7
croze,Croze,5
domeyrot,Domeyrot,8
dontreix,Dontreix,8
dun-le-palestel,Dun-le-Palestel,15
evaux-les-bains,Evaux-les-Bains,15
faux-la-montagne,Faux-la-Montagne,16
faux-mazuras,Faux-Mazuras,12
felletin,Felletin,8
feniers,Féniers,7
flayat,Flayat,6
fleurat,Fleurat,7
fontanieres,Fontanières,11
franseches,Fransèches,10
fresselines,Fresselines,11
gartempe,Gartempe,8
genouillac,Genouillac,10
gentioux-pigerolles,Gentioux-Pigerolles,19
gioux,Gioux,5
glenic,Glénic,6
gouzon,Gouzon,6
gueret,Guéret,6
issoudun-letrieix,Issoudun-Létrieix,17
jalesches,Jalesches,9
janaillat,Janaillat,9
jarnages,Jarnages,8
jouillat,Jouillat,8
la-brionne,"La Brionne",10
la-celle-dunoise,"La Celle-Dunoise",16
la-celle-sous-gouzon,"La Celle-sous-Gouzon",20
la-cellette,"La Cellette",11
la-chapelle-baloue,"La Chapelle-Baloue",18
la-chapelle-saint-martial,"La Chapelle-Saint-Martial",25
la-chapelle-taillefert,"La Chapelle-Taillefert",22
la-chaussade,"La Chaussade",12
la-courtine,"La Courtine",11
la-foret-du-temple,"La Forêt-du-Temple",18
la-maziere-aux-bons-hommes,"La Mazière-aux-Bons-Hommes",26
la-nouaille,"La Nouaille",11
la-pouge,"La Pouge",8
la-sauniere,"La Saunière",11
la-serre-bussiere-vieille,"La Serre-Bussière-Vieille",25
la-souterraine,"La Souterraine",14
la-villedieu,"La Villedieu",12
la-villeneuve,"La Villeneuve",13
la-villetelle,"La Villetelle",13
ladapeyre,Ladapeyre,9
lafat,Lafat,5
lavaufranche,Lavaufranche,12
lavaveix-les-mines,Lavaveix-les-Mines,18
le-bourg-d-hem,"Le Bourg-d'Hem",14
le-chauchet,"Le Chauchet",11
le-compas,"Le Compas",9
le-donzeil,"Le Donzeil",10
le-grand-bourg,"Le Grand-Bourg",14
le-mas-d-artige,"Le Mas-d'Artige",15
le-monteil-au-vicomte,"Le Monteil-au-Vicomte",21
lepaud,Lépaud,6
lepinas,Lépinas,7
les-mars,"Les Mars",8
leyrat,Leyrat,6
linard,Linard,6
lioux-les-monges,Lioux-les-Monges,16
lizieres,Lizières,8
lourdoueix-saint-pierre,Lourdoueix-Saint-Pierre,23
lupersat,Lupersat,8
lussat,Lussat,6
magnat-l-etrange,Magnat-l'Etrange,16
mainsat,Mainsat,7
maison-feyne,Maison-Feyne,12
maisonnisses,Maisonnisses,12
malleret,Malleret,8
malleret-boussac,Malleret-Boussac,16
malval,Malval,6
mansat-la-courriere,Mansat-la-Courrière,19
marsac,Marsac,6
masbaraud-merignat,Masbaraud-Mérignat,18
mautes,Mautes,6
mazeirat,Mazeirat,8
measnes,Méasnes,7
merinchal,Mérinchal,9
montaigut-le-blanc,Montaigut-le-Blanc,18
montboucher,Montboucher,11
mortroux,Mortroux,8
mourioux-vieilleville,Mourioux-Vieilleville,21
moutier-d-ahun,Moutier-d'Ahun,14
moutier-malcard,Moutier-Malcard,15
moutier-rozeille,Moutier-Rozeille,16
naillat,Naillat,7
neoux,Néoux,5
noth,Noth,4
