rewrite,gentile_h_ville,nbre_car
genetouzien,Genétouzien,11
griphorien,Griphorien,10
la-jardai,"La Jardai",9
jarnai,Jarnai,6
jarrien,Jarrien,7
jarrien,Jarrien,7
la-laignien,"La Laignien",11
rochelai,Rochelai,8
rondelai,Rondelai,8
trembladai,Trembladai,10
valloi,Valloi,6
vergnaud,Vergnaud,8
lagordai,Lagordai,8
landai,Landai,6
landraisien,Landraisien,11
boitai,Boitai,6
casteloleronai,Casteloléronai,14
chaytai,Chaytai,7
fouillousin,Fouillousin,11
gicquoi,Gicquoi,7
grand-villageoi,Grand-Villageoi,15
guatai,Guatai,6
gue-d-allerien,Gué-d'Allérien,14
meledunien,Mélédunien,10
pinoi,Pinoi,5
seuroi,Seuroi,6
tholusien,Tholusien,9
leovilloi,Léovilloi,9
edutoi,Edutoi,6
argenteuillai,Argenteuillai,13
essartai,Essartai,8
gontai,Gontai,6
matheron,Mathéron,8
novelarien,Novelarien,10
portingalai,Portingalai,11
prinien,Prinien,7
loirain,Loirain,7
loireen,Loiréen,7
loidai,Loidai,6
longevoi,Longevoi,8
lonzacai,Lonzacai,8
lorignacai,Lorignacai,10
loulaysien,Loulaysien,10
louzignacai,Louzignacai,11
lozeen,Lozéen,6
luchatai,Luchatai,8
lussacai,Lussacai,8
lussantai,Lussantai,9
macquevilloi,Macquevilloi,12
marandai,Marandai,8
marennai,Marennai,8
marignacai,Marignacai,10
marsaisien,Marsaisien,10
marselloi,Marselloi,9
massacoi,Massacoi,8
mathalien,Mathalien,9
mazerien,Mazérien,8
mazerollai,Mazerollai,10
medisai,Médisai,7
michelai,Michelai,8
messacai,Messacai,8
meursacai,Meursacai,9
meuxoi,Meuxoi,6
migreen,Migréen,7
migronnai,Migronnai,9
mirambeaulai,Mirambeaulai,12
moezien,Moëzien,7
monsoi,Monsoi,6
montendrai,Montendrai,10
montguyonnai,Montguyonnai,12
montilien,Montilien,9
montlieunai,Montlieunai,11
montpellierain,Montpellierain,14
montroyen,Montroyen,9
moragnai,Moragnai,8
mornacon,Mornaçon,8
mortagnai,Mortagnai,9
mortiesain,Mortiesain,10
mosnacai,Mosnacai,8
muronai,Muronai,7
nachamptai,Nachamptai,10
nancrassien,Nancrassien,11
nantillai,Nantillai,9
nereen,Néréen,6
neuillacai,Neuillacai,10
neulloi,Neulloi,7
neuvicquoi,Neuvicquoi,10
neuvicquoi,Neuvicquoi,10
nieulai,Nieulai,7
nieulai,Nieulai,7
nieulai,Nieulai,7
nieullai,Nieullai,8
nuailleen,Nuailléen,9
orignollai,Orignollai,10
ozillacai,Ozillacai,9
pallacien,Pallacien,9
pereen,Péréen,6
perignacai,Pérignacai,10
perignacien,Pérignacien,11
pessinoi,Pessinoi,8
pisaneen,Pisanéen,8
plassacai,Plassacai,9
polignacai,Polignacai,10
pontoi,Pontoi,6
pontilabien,Pontilabien,11
port-d-envalloi,Port-d'Envalloi,15
portbarquai,Portbarquai,11
pouillacai,Pouillacai,10
garnaudien,Garnaudien,10
preguillacai,Préguillacai,12
prignacai,Prignacai,9
puilborain,Puilborain,10
puy-laquoi,Puy-Laquoi,10
pyrate,Pyrate,6
reaulai,Réaulai,7
retaudai,Rétaudai,8
rioutai,Rioutai,7
rivedousai,Rivedousai,10
rochefortai,Rochefortai,11
romegousien,Romégousien,11
rouffiacai,Rouffiacai,10
rouffignacai,Rouffignacai,12
royannai,Royannai,8
sablonconnai,Sablonçonnai,12
saint-agnantai,Saint-Agnantai,14
saint-aigulinoi,Saint-Aigulinoi,15
saint-andron,Saint-Andron,12
saint-augustinoi,Saint-Augustinoi,16
saint-bonnetai,Saint-Bonnetai,14
saint-bricien,Saint-Bricien,13
acerien,Acérien,7
christophoi,Christophoi,11
saint-cirien,Saint-Cirien,12
taillonnai,Taillonnai,10
villageoi,Villageoi,9
saint-coutantai,Saint-Coutantai,15
saint-crepinoi,Saint-Crépinoi,14
saint-cyrien,Saint-Cyrien,12
dyonisien,Dyonisien,9
diony-sapinoi,Diony-Sapinoi,13
saint-dizannai,Saint-Dizannai,14
saint-dizanai,Saint-Dizanai,13
saint-eugenoi,Saint-Eugénoi,13
felicien,Félicien,8
saint-fortai,Saint-Fortai,12
saint-froinlts,Saint-Froinlts,14
saint-genesien,Saint-Genésien,14
saint-georgien,Saint-Georgien,14
saint-georgeai,Saint-Georgeai,14
saint-georgeai,Saint-Georgeai,14
saint-georgeai,Saint-Georgeai,14
saint-georgeai,Saint-Georgeai,14
saint-georgeai,Saint-Georgeai,14
georgipolitain,Georgipolitain,14
saint-germinoi,Saint-Germinoi,14
marencennai,Marencennai,11
saint-germinoi,Saint-Germinoi,14
saint-germinoi,Saint-Germinoi,14
saint-gregorien,Saint-Grégorien,15
hilairoi,Hilairoi,8
saint-hilairoi,Saint-Hilairoi,14
hippolytain,Hippolytain,11
angerien,Angérien,8
angloi,Angloi,6
liversoi,Liversoi,8
escapien,Escapien,8
saint-justais-et-luzacai,"Saint-Justais et Luzacai",24
saint-laurentai,Saint-Laurentai,15
saint-laurentai,Saint-Laurentai,15
saint-legeroi,Saint-Légeroi,13
saint-luprien,Saint-Luprien,13
saint-maigrinoi,Saint-Maigrinoi,15
saint-mandeen,Saint-Mandéen,13
saint-martialai,Saint-Martialai,15
saint-martialai,Saint-Martialai,15
saint-martinoi,Saint-Martinoi,14
saint-martinaud,Saint-Martinaud,15
saint-martinier,Saint-Martinier,15
martinai,Martinai,8
tavernolai,Tavernolai,10
saint-medarien,Saint-Médarien,14
saint-medardain,Saint-Medardain,15
saint-nazairien,Saint-Nazairien,15
audonien,Audonien,8
audonien,Audonien,8
negrignacai,Négrignacai,11
saint-palaisien,Saint-Palaisien,15
saint-palaisien,Saint-Palaisien,15
saint-pardoltien,Saint-Pardoltien,16
pierramillien,Pierramillien,13
saint-pierroi,Saint-Pierroi,13
islitien,Islitien,8
saint-pierrelai,Saint-Pierrelai,15
saint-porcheroi,Saint-Porcheroi,15
saint-quantinoi,Saint-Quantinoi,15
rogatien,Rogatien,8
saint-rominoi,Saint-Rominoi,13
saint-rominai,Saint-Rominai,13
saturninoi,Saturninoi,10
saint-sylvanai,Saint-Sylvanai,14
ligurien,Ligurien,8
savinoi,Savinoi,7
saint-seurinoi,Saint-Seurinoi,14
saint-severinoi,Saint-Séverinoi,15
sigismonai,Sigismonai,10
saint-simonnai,Saint-Simonnai,14
saint-simonai,Saint-Simonai,13
saint-sorlinoi,Saint-Sorlinoi,14
saint-sorninoi,Saint-Sorninoi,14
saint-sulpicoi,Saint-Sulpiçoi,14
saint-sulpicien,Saint-Sulpicien,15
saint-thomacai,Saint-Thomacai,14
saint-trojannai,Saint-Trojannai,15
vasilien,Vasilien,8
vivianai,Vivianai,8
saint-xandrai,Saint-Xandrai,13
sainte-colombinoi,Sainte-Colombinoi,17
sainte-gemmoi,Sainte-Gemmoi,13
sainte-lheurinoi,Sainte-Lheurinoi,16
maritai,Maritai,7
saint-memoi,Saint-Mêmoi,11
sainte-radegondai,Sainte-Radegondai,17
ramillon,Ramillon,8
solinoi,Solinoi,7
saintai,Saintai,7
saleignoi,Saleignoi,9
salignacai,Salignacai,10
salignacai,Salignacai,10
sallesien,Sallésien,9
saujonnai,Saujonnai,9
semillacai,Semillacai,10
semoussacai,Semoussacai,11
semussacai,Semussacai,10
siecquoi,Siecquoi,8
sonnacai,Sonnacai,8
soubisien,Soubisien,9
soubranai,Soubranai,9
soulignonnai,Soulignonnai,12
soumeracai,Souméracai,10
sousmoulinoi,Sousmoulinoi,12
surgerien,Surgérien,9
taillebourgeoi,Taillebourgeoi,14
talmonai,Talmonai,8
tanzacai,Tanzacai,8
taugonnai,Taugonnai,9
ternantai,Ternantai,9
tessonnai,Tessonnai,9
thaimoi,Thaimoi,7
thairesien,Thairésien,10
thenacai,Thénacai,8
thezacai,Thézacai,8
thorsai,Thorsai,7
boutonnai,Boutonnai,9
tonnacquoi,Tonnacquoi,10
torxeen,Torxéen,7
trizayen,Trizayen,8
tugerassien,Tugerassien,11
vandreen,Vandréen,8
vanzacai,Vanzacai,8
varaizien,Varaizien,9
varzeen,Varzéen,7
vauxoi,Vauxoi,6
venerandai,Vénérandai,10
vergeroussoi,Vergeroussoi,12
verinoi,Vérinoi,7
vervantai,Vervantai,9
vibracai,Vibracai,8
villarai,Villarai,8
villedousai,Villedousai,11
villemorinoi,Villemorinoi,12
villeneuvoi,Villeneuvoi,11
villexavieroi,Villexavieroi,13
villieroi,Villiéroi,9
virolletai,Virolletai,10
virsonnai,Virsonnai,9
voissayen,Voissayen,9
voyacai,Voyacai,7
yveen,Yvéen,5
acheroi,Achèroi,7
allognoi,Allognoi,8
allouisien,Allouisien,10
annoyen,Annoyen,7
apremontoi,Apremontoi,10
arceen,Arcéen,6
arconnai,Arconnai,8
argentai,Argentai,8
argenvieroi,Argenviéroi,11
arpheuilloi,Arpheuilloi,11
assignoi,Assignoi,8
albinien,Albinien,8
albingien,Albingien,9
aulgycien,Aulgycien,9
avarai,Avarai,6
bannaisien,Bannaisien,10
bannegonnai,Bannegonnai,11
barlocien,Barlocien,9
balgycien,Balgycien,9
beddoi,Beddoi,6
beffoi,Beffoi,6
bellevilloi,Bellevilloi,11
bengiacoi,Bengiacoi,9
berryboicien,Berryboïcien,12
bessaisien,Bessaisien,10
blancafortai,Blancafortai,12
bletoi,Blétoi,6
boullereen,Boulleréen,10
berruyers,Berruyers,9
bozacien,Bozacien,8
brecylien,Brécylien,9
brinayen,Brinayen,8
brinonnai,Brinonnai,9
brueroi,Bruéroi,7
bueton,Buéton,6
bussyen,Bussyen,7
cerboisien,Cerboisien,10
chalivoysien,Chalivoysien,12
chambonnai,Chambonnai,10
charentonnai,Charentonnai,12
carentinoi,Carentinoi,10
charliacoi,Charliacoi,10
charostai,Chârostai,9
castelmeillantai,Castelmeillantai,16
castelneuvien,Castelneuvien,13
chaumontain,Chaumontain,11
chaumousien,Chaumousien,11
chavannai,Chavannai,9
cheroi,Chéroi,6
casalai,Casalai,7
clemontoi,Clémontoi,9
cognien,Cognien,7
colombiersoi,Colombiersoi,12
concressaultoi,Concressaultoi,14
contrai,Contrai,7
cornussien,Cornussien,10
corquoysien,Corquoysien,11
couarguai,Couarguai,9
coursibarroi,Coursibarroi,12
coustoi,Coustoi,7
coiatien,Coiatien,8
crezancaynoi,Crézançaynoi,12
crezancynien,Crézancynien,12
crossoi,Crossoi,7
cuffycoi,Cuffyçoi,8
culanai,Culanai,7
dampierroi,Dampierroi,10
dampierroi,Dampierroi,10
drevantai,Drevantai,9
dunoi,Dunoi,5
ennordrai,Ennordrai,9
epineuilloi,Epineuilloi,11
etrechyssoi,Etréchyssoi,11
fargeoi,Fargeoi,7
fargeoi,Fargeoi,7
faverdin,Faverdin,8
feuxoi,Feuxoi,6
flavignien,Flavignien,10
foeceen,Foecéen,7
fusseen,Fusséen,7
variniacoi,Variniacoi,10
genouilloi,Genouilloi,10
germinoi,Germinoi,8
givardonai,Givardonai,10
gracayai,Graçayai,8
groisien,Groisien,8
grondai,Grondai,7
grossouvroi,Grossouvroi,11
henrichemontai,Henrichemontai,14
herrisson,Herrisson,9
ineuilloi,Ineuilloi,9
iveopratain,Ivéopratain,11
jarsoi,Jarsoi,6
jouettoi,Jouettoi,8
jussy-champenoi,Jussy-Champenoi,15
jussyssoi,Jussyssoi,9
celloi,Celloi,6
chapelloi,Chapelloi,9
capelo-hugonai,Capélo-Hugonai,14
capelinardien,Capelinardien,13
chapelloi,Chapelloi,9
castelpelotoi,Castelpelotoi,13
grouttoi,Grouttoi,8
guerchoi,Guerchoi,8
perchoi,Perchoi,7
lantanai,Lantanai,8
lapanai,Lapanai,7
lazenai,Lazenai,7
castelloi,Castelloi,9
chautenoi,Chautenoi,9
noyeroi,Noyeroi,7
pondissoi,Pondissoi,9
subdreen,Subdréen,8
lereen,Léréen,6
angillonnai,Angillonnai,11
levetoi,Levetoi,7
lignieroi,Ligniéroi,9
limosin,Limosin,7
loyen,Loyen,5
lugneen,Lugnéen,7
luneroi,Lunéroi,7
luroi,Luroi,5
mareuillai,Mareuillai,10
marmagnai,Marmagnai,9
marseilloi,Marseilloi,10
massayai,Massayai,8
mehunoi,Mehunoi,7
meillantai,Meillantai,10
monastelien,Monastélien,11
monestrosalonien,Monestrosalonien,16
menetreolai,Ménétréolai,11
marologien,Marologien,10
meryboisien,Méryboisien,11
mariacien,Mariacien,9
montlouisien,Montlouisien,12
morlacoi,Morlacoi,8
mornaysien,Mornaysien,10
mornaysien,Mornaysien,10
moroguoi,Moroguoi,8
maremortain,Marémortain,11
moulinoi,Moulinoi,8
nancayai,Nançayai,8
nerondai,Nérondai,8
noviliaquoi,Noviliaquoi,11
neuilloi,Neuilloi,8
neuvyceen,Neuvycéen,9
nohantai,Nohantai,8
nozieroi,Noziéroi,8
oizonnai,Oizonnai,8
orcenayen,Orcenayen,9
orvalien,Orvalien,8
ulmeracien,Ulméracien,10
osmoyen,Osmoyen,7
bourdelinoi,Bourdelinoi,11
parassien,Parassien,9
parnaysien,Parnaysien,10
pignacien,Pignacien,9
plaimpiedoi,Plaimpiédoi,11
plouai,Plouai,6
poceolien,Pocéolien,9
precysoi,Précysoi,8
preuilloi,Preuilloi,9
preverangeoi,Préverangeoi,12
quantillai,Quantillai,10
quincoi,Quinçoi,7
raymondoi,Raymondoi,9
rezayen,Rezayen,7
riannai,Riannai,7
sagonnai,Sagonnai,8
saint-amandoi,Saint-Amandoi,13
saint-ambroisien,Saint-Ambroisien,16
saint-baudeloi,Saint-Baudeloi,14
baudelien,Baudelien,9
capresien,Caprésien,9
saint-ceolai,Saint-Céolai,12
christophorien,Christophorien,14
palinoi,Palinoi,7
dolchardien,Dolchardien,11
gyacomoi,Gyacomoi,8
saint-florentai,Saint-Florentai,15
saint-georgeoi,Saint-Georgeoi,14
moulonnai,Moulonnai,9
saint-germinoi,Saint-Germinoi,14
germinoi,Germinoi,8
saint-courtin,Saint-Courtin,13
saint-hilairoi,Saint-Hilairoi,14
saint-jeanvrinoi,Saint-Jeanvrinoi,16
justinoi,Justinoi,8
laurentai,Laurentai,9
saint-legeoi,Saint-Légeoi,12
loupien,Loupien,7
martinoi,Martinoi,8
martinoi,Martinoi,8
saint-maurien,Saint-Maurien,13
saint-michelloi,Saint-Michelloi,15
austregelisien,Austrégélisien,14
saint-palaisien,Saint-Palaisien,15
petruboscien,Petruboscien,12
etieusoi,Etieusoi,8
gordonien,Gordonien,9
saint-saturninoi,Saint-Saturninoi,16
symphorinoi,Symphorinoi,11
saint-vittoi,Saint-Vittoi,12
luneen,Lunéen,6
montainai,Montainai,9
solangeoi,Solangeoi,9
tauricien,Tauricien,9
sancerguoi,Sancerguoi,10
sancerroi,Sancerroi,9
sancoinai,Sancoinai,9
santrangeoi,Santrangeoi,11
salgissoi,Salgissoi,9
saulzanai,Saulzanai,9
savignacoi,Savignacoi,10
savinien,Savinien,8
sembeljoutain,Sembeljoutain,13
serruellien,Serruellien,11
sevrien,Sevrien,7
sidiaillai,Sidiaillai,10
soulangeoi,Soulangeoi,10
soyen,Soyen,5
sublinien,Sublinien,9
suryceen,Surycéen,8
suryssoi,Suryssoi,8
tendronai,Tendronai,9
thalmerien,Thalmérien,10
thanalogien,Thanalogien,11
tortorennai,Tortorennai,11
trucidien,Trucidien,9
uzaynien,Uzaynien,8
vaillysoi,Vaillysoi,9
vallenaisien,Vallenaisien,12
vasselaysien,Vasselaysien,12
valgicien,Valgicien,9
venesmoi,Venesmoi,8
verdignacien,Verdignacien,12
verneuillai,Verneuillai,11
vesdunoi,Vesdunoi,8
vierzonnai,Vierzonnai,10
vignogilloi,Vignogilloi,11
barangeonnai,Barangeonnai,12
villabonnai,Villabonnai,11
villecelinoi,Villecelinoi,12
villeneuvoi,Villeneuvoi,11
villequeroi,Villequeroi,11
vinonnai,Vinonnai,8
vorlaisien,Vorlaisien,10
vornaysien,Vornaysien,10
vouzeronnai,Vouzeronnai,11
affieucoi,Affieucoi,9
aixoi,Aixoi,5
albignacoi,Albignacoi,10
albussacoi,Albussacoi,10
allassacoi,Allassacoi,10
alleyratoi,Alleyratoi,10
altillacoi,Altillacoi,10
ambrugeacoi,Ambrugeacoi,11
argentacoi,Argentacoi,10
pompadours,Pompadours,10
astaillacoi,Astaillacoi,11
aubazinoi,Aubazinoi,9
auriacoi,Auriacoi,8
ayennoi,Ayennoi,7
baroi,Baroi,5
bassignacoi,Bassignacoi,11
bassignacoi,Bassignacoi,11
bellocoi,Bellocoi,8
beaumontoi,Beaumontoi,10
bellechassagnoi,Bellechassagnoi,15
beynatoi,Beynatoi,8
beyssacoi,Beyssacoi,9
beyssenacoi,Beyssenacoi,11
bilhacoi,Bilhacoi,8
bortoi,Bortoi,6
branceillai,Branceillai,11
brignacoi,Brignacoi,9
briviste,Briviste,8
brivezacoi,Brivezacoi,10
bugeacoi,Bugeacoi,8
chabrignacoi,Chabrignacoi,12
chambertoi,Chambertoi,10
chamboulivoi,Chamboulivoi,12
chameyracoi,Chameyracoi,11
champagnacoi,Champagnacoi,12
champagnacoi,Champagnacoi,12
chanacoi,Chanacoi,8
chanteixoi,Chanteixoi,10
chapelloi,Chapelloi,9
chartrien,Chartrien,9
castelloi,Castelloi,9
chauffournai,Chauffournai,12
chaumeilloi,Chaumeilloi,11
chavanacoi,Chavanacoi,10
chiracoi,Chiracoi,8
clergousien,Clergousien,11
collongeoi,Collongeoi,10
combressoloi,Combressoloi,12
concezan,Concézan,8
condatoi,Condatoi,8
corniloi,Corniloi,8
correzoi,Corrézoi,8
cosnacoi,Cosnacoi,8
couffynoi,Couffynoi,9
courteixoi,Courteixoi,10
cublacoi,Cublacoi,8
curemontoi,Curemontoi,10
dampniacoi,Dampniacoi,10
darazacoi,Darazacoi,9
darnetzien,Darnetzien,10
davignacoi,Davignacoi,10
donzenacoi,Donzenacoi,10
egletonnai,Egletonnai,10
espagnacoi,Espagnacoi,10
espartignacoi,Espartignacoi,13
estivalai,Estivalai,9
eyburicoi,Eyburicoi,9
eygurandai,Eygurandai,10
eyreinai,Eyreinai,8
favaroi,Favaroi,7
forgesien,Forgésien,9
gimeloi,Gimeloi,7
goulloi,Goulloi,7
gourdonnai,Gourdonnai,10
grandsaignoi,Grandsaignoi,12
gros-chastagnier,Gros-Chastagnier,16
gumontoi,Gumontoi,8
hautefageoi,Hautefageoi,11
jugealiennes-nazare,Jugealiennes-Nazaré,19
juillacoi,Juillacoi,9
chapelloi,Chapelloi,9
capeloux,Capeloux,8
lacelloi,Lacelloi,8
ladignacoi,Ladignacoi,10
fageou,Fageou,6
gardilloux,Gardilloux,10
guennoi,Guennoi,7
mazieroi,Maziéroi,8
lanteuilloi,Lanteuilloi,11
larchoi,Larchoi,7
lascautoi,Lascautoi,9
chastandou,Chastandou,10
jardinoi,Jardinoi,8
lonzacoi,Lonzacoi,8
lestaroi,Lestaroi,8
lignareixoi,Lignareixoi,11
ligneyracoi,Ligneyracoi,11
liourdrai,Liourdrai,9
lissacoi,Lissacoi,8
lostangeoi,Lostangeoi,10
lubersacoi,Lubersacoi,10
madrangeoi,Madrangeoi,10
malemortoi,Malemortoi,10
mansacoi,Mansacoi,8
marcantin,Marcantin,9
marcillacoi,Marcillacoi,11
marcillacoi,Marcillacoi,11
margeridoi,Margeridoi,10
masseretoi,Masserétoi,10
maussacoi,Maussacoi,9
meilhardoi,Meilhardoi,10
marcoeuroi,Marcoeuroi,10
merlinoi,Merlinoi,8
mestoi,Mestoi,6
meymacoi,Meymacoi,8
meyssacoi,Meyssacoi,9
millevachoi,Millevachoi,11
moncelloi,Moncelloi,9
monestier-merlinoi,Monestier-Merlinoi,18
montaignacoi,Montaignacoi,12
moustieroi,Moustiéroi,10
navaroi,Navaroi,7
nespouloi,Nespouloi,9
neuvicoi,Neuvicoi,8
noailhacoi,Noailhacoi,10
novalien,Novalien,8
nonardai,Nonardai,8
objatoi,Objatoi,7
orgnacoi,Orgnacoi,8
orliacoi,Orliacoi,8
palazingeoi,Palazingeoi,11
palissoi,Palissoi,8
pandrignoi,Pandrignoi,10
peretoi,Pérétoi,7
perolai,Pérolai,7
perpezacoi,Perpezacoi,10
perpezacoi,Perpezacoi,10
peyrelevadoi,Peyrelevadoi,12
peyrissacoi,Peyrissacoi,11
pierrefittoi,Pierrefittoi,12
pradinoi,Pradinoi,8
puy-d-arnacoi,"Puy d'Arnacoi",13
queyssacoi,Queyssacoi,10
reygadai,Reygadai,8
rilhacoi,Rilhacoi,8
rilhacoi,Rilhacoi,8
rouchoux,Rouchoux,8
rosieroi,Rosieroi,8
sadrocoi,Sadrocoi,8
saint-angeloi,Saint-Angeloi,13
saint-augustinoi,Saint-Augustinoi,16
saint-aulairien,Saint-Aulairien,15
saint-baziloi,Saint-Baziloi,13
baziloi,Baziloi,7
avalouzien,Avalouzien,10
saint-bonnetoi,Saint-Bonnetoi,14
saint-cerninoi,Saint-Cerninoi,14
saint-cirgoi,Saint-Cirgoi,12
saint-clementoi,Saint-Clémentoi,15
saint-cyrien,Saint-Cyrien,12
stephanoi,Stéphanoi,9
stephanoi,Stéphanoi,9
saint-exuperien,Saint-Exupérien,15
saint-germain,Saint-Germain,13
saint-hilairoi,Saint-Hilairoi,14
saint-hilairien,Saint-Hilairien,15
saint-jaloi,Saint-Jaloi,11
maumontoi,Maumontoi,9
martialai,Martialai,9
saint-martinoi,Saint-Martinoi,14
saint-mercantoi,Saint-Mercantoi,15
saint-pantaleonnai,Saint-Pantaléonnai,18
saint-pardousien,Saint-Pardousien,16
saint-pardousien,Saint-Pardousien,16
sancto-prixin,Sancto-Prixin,13
saint-privacoi,Saint-Privacoi,14
saint-robertoi,Saint-Robertoi,14
saint-setier,Saint-Setier,12
saint-victourien,Saint-Victourien,16
aredien,Arédien,7
flegeoloi,Flégéoloi,9
fortunadai,Fortunadai,10
samaritain,Samaritain,10
salonnai,Salonnai,8
sarranai,Sarranai,8
sarrousien,Sarrousien,10
seguroi,Séguroi,7
seilhacoi,Seilhacoi,9
serilhacoi,Sérilhacoi,10
servieroi,Servieroi,9
sexcloi,Sexcloi,7
sioniacoi,Sioniacoi,9
sornacoi,Sornacoi,8
vinadieroi,Vinadièroi,10
soudeilloi,Soudeilloi,10
soursacoi,Soursacoi,9
tarnacoi,Tarnacoi,8
treignacoi,Treignacoi,10
trochoi,Trochoi,7
tudeilloi,Tudeilloi,9
tulliste,Tulliste,8
turennoi,Turennoi,8
ussacoi,Ussacoi,7
usseloi,Usseloi,7
uzerchoi,Uzerchoi,8
valierguoi,Valierguoi,10
varetzien,Varetzien,9
varsoi,Varsoi,6
vegennoi,Végennoi,8
veien,Veien,5
veyrieroi,Veyrièroi,9
viamoi,Viamoi,6
vigeoyeux,Vigeoyeux,9
vignolai,Vignolai,8
voutezacoi,Voutézacoi,10
yssandonnai,Yssandonnai,11
afayen,Afayen,6
ajaccien,Ajaccien,8
alatai,Alatai,6
arbellarai,Arbellarai,10
arborai,Arborai,7
auddaninchi,Auddaninchi,11
azzanai,Azzanai,7
balognai,Balognai,8
bastelicai,Bastelicai,10
bastilcacci-ou-bastelicacciai,"Bastilcacci ou Bastelicacciai",29
belvederais-campomorai,Belvederais-Campomorai,22
bocognanai,Bocognanai,10
bonifacien,Bonifacien,10
calcatoggiai,Calcatoggiai,12
campinchi,Campinchi,9
cannelai,Cannelai,8
carbinai,Carbinai,8
carbucciai,Carbucciai,10
cargesien,Cargésien,9
cargiacai,Cargiacai,9
casalabrivai,Casalabrivai,12
cavrai,Cavrai,6
concai,Concai,6
corranai,Corranai,8
cozzanai,Cozzanai,8
cristinaccai,Cristinaccai,12
cuttolai,Cuttolai,8
avisien,Avisien,7
figarai,Figarai,7
fozzanai,Fozzanai,8
frassetanes,Frassetanes,11
granacinchi,Granacinchi,11
grossitain,Grossitain,10
grossetai,Grossetai,9
guagnai,Guagnai,7
levianai,Lévianai,8
lopignai,Lopignai,8
loretain,Loretain,8
marignanai,Marignanai,10
melai,Mélai,5
monacien,Monacien,8
ocanai,Ocanai,6
olivesain,Olivesain,9
palnecai,Palnecai,8
pastricciolai,Pastricciolai,13
pianai,Pianai,6
canalai,Canalai,7
poggiolai,Poggiolai,9
porto-vecchiai,Porto-Vecchiai,14
proprianai,Proprianai,10
quasquarai,Quasquarai,10
rosasien,Rosasien,8
santamariacci,Santamariacci,13
sarai,Sarai,5
sarrolai,Sarrolai,8
sartenai,Sarténai,8
sarrafarinchi,Sarrafarinchi,13
socciai,Socciai,7
sollacarai,Sollacarai,10
sorbollanai,Sorbollanai,11
sottai,Sottai,6
tollai,Tollai,6
uccianai,Uccianai,8
vicolai,Vicolai,7
zicavai,Zicavai,7
zigliarai,Zigliarai,9
zonzai,Zonzai,6
zozai,Zozai,5
aghionai,Aghionai,8
aitinchi,Aïtinchi,8
alandesi,Alandesi,8
albertaccai,Albertaccai,11
aleriacci,Aleriacci,9
algajolai,Algajolai,9
antisantai,Antisantai,10
aregnai,Aregnai,7
aschesi,Aschesi,7
avapessien,Avapessien,10
barrettalesi,Barrettalesi,12
bastiai,Bastiai,7
belgodercecci,Belgodercecci,13
bigugliai,Bigugliai,9
borgolai,Borgolai,8
brandinchi,Brandinchi,10
bustanicai,Bustanicai,10
cagnanai,Cagnanai,8
calenzanai,Calenzanai,10
calvai,Calvai,6
campilai,Campilai,8
campitellai,Campitellai,11
canalai,Canalai,7
canarai,Canarai,7
carchetu-brusticu,"Carchetu Brusticu",17
carticasinchi,Carticasinchi,13
casabiancai,Casabiancai,11
caccianinchi,Caccianinchi,12
castiglionai,Castiglionai,12
cervionai,Cervionai,9
chisanai,Chisanai,8
corbarai,Corbarai,8
curscinchi,Curscinchi,10
cortenai,Cortenai,8
farinolai,Farinolai,9
filigiaschi,Filigiaschi,11
filicidinchi,Filicidinchi,12
focicchien,Focicchien,10
furianai,Furianai,8
gavignanai,Gavignanai,10
ghisonacciai,Ghisonacciai,12
ghisonai,Ghisonai,8
isolacciai,Isolacciai,10
isolani,Isolani,7
purtulani,Purtulani,9
lentoi,Lentoi,6
l-ordacci,L'Ordacci,9
luccianai,Luccianai,9
lumiai,Lumiai,6
mansu,Mansu,5
mausoleai,Mausoléai,9
moitai,Moïtai,6
monticelloi,Monticelloi,11
merusaglinchi,Merusaglinchi,13
muracciolai,Muracciolai,11
muratai,Muratai,7
muraschi,Muraschi,8
nessoi,Nessoi,6
nocariai,Nocariai,8
nonzai,Nonzai,6
olcanai,Olcanai,7
olmetai,Olmetai,7
ortalai,Ortalai,7
palascai,Palascai,8
pancheracciai,Pancheracciai,13
pentolai,Pentolai,8
perellai,Perellai,8
pianellai,Pianellai,9
pinolai,Pinolai,7
piazziulinci,Piazziulinci,12
piedicrocinchi,Piedicrocinchi,14
piedigriggeoi,Piedigriggeoi,13
pietralbai,Pietralbai,10
pietrosai,Pietrosai,9
poggiolai,Poggiolai,9
poggio-mezzanai,Poggio-Mezzanai,15
popolascai,Popolascai,10
porrinchi,Porrinchi,9
pratai,Pratai,6
prunellai,Prunellai,9
prunellai,Prunellai,9
roglianai,Roglianai,9
rutalai,Rutalai,7
san-damianai,San-Damianai,12
san-martinoi,San-Martinoi,12
cotonai,Cotonai,7
miomai,Miomai,6
poghjulacci,Poghjulacci,11
scolcai,Scolcai,7
fiumorbai,Fiumorbai,9
siscai,Siscai,6
solarai,Solarai,7
sorbai,Sorbai,6
speloncatai,Speloncatai,11
taglincchi,Taglincchi,10
talasanai,Talasanai,9
tarranai,Tarranai,8
tominai,Tominai,7
traloncai,Traloncai,9
urtacai,Urtacai,7
vallecallai,Vallecallai,11
vallicai,Vallicai,8
venacai,Venacai,7
ventiserai,Ventiserai,10
venzolascai,Venzolascai,11
verdesoi,Verdesoi,8
vescovatai,Vescovatai,10
