rewrite,gentile_h_ville_impr1,gentile_h_ville_impr2,nomcaractère
chateauneuvois,Châteauneuvois,,14
chatillonnais,Châtillonnais,,13
chatillonnais,Châtillonnais,,13
goubetois,Goubetois,,9
chaudebonnais,Chaudebonnais,,13
chauvaquier,Chauvaquiers,,11
chavannais,Chavannais,,10
clansayais,Clansayais,,10
claveysonnais,Claveysonnais,,13
cleonnais,Cléonnais,,9
clerieugeois,Clérieugeois,,12
cliousclatien,Cliousclatien,,13
cobonnois,Cobonnois,,9
colonzellois,Colonzellois,,12
combovinois,Combovinois,,11
compsois,Compsois,,8
condillacois,Condillacois,,12
condorceen,Condorcéen,,10
cornillacois,Cornillacois,,12
cornillonais,Cornillonais,,12
crepolois,Crépolois,,9
crestois,Crestois,,8
crozois,Crozois,,7
crupian,Crupian,,7
curnierois,Curnierois,,10
diois,Diois,,5
dieulefitois,Dieulefitois,,12
divajois,Divajois,,8
donzerois,Donzérois,,9
cavisien,Cavisien,,8
epinouzien,Epinouzien,,10
eromain,Érômain,,7
espeluchois,Espeluchois,,11
espenelois,Espenélois,,10
establetais,Establetais,,11
etoilien,Etoilien,,8
eurrois,Eurrois,,7
eygalayais,Eygalayais,,10
eygalierain,Eygalierain,,11
eygloulinois,Eygloulinois,,12
eymeusien,Eymeusien,,9
eyrolais,Eyrolais,,8
eyzahutien,Eyzahutien,,10
fayen,Fayens,,5
felinois,Félinois,,8
ferrassierois,Ferrassièrois,,13
francillonnais,Francillonnais,,14
genissoix,Génissoix,,9
gervandois,Gervandois,,10
geyssanais,Geyssanais,,10
gigorois,Gigorois,,8
glandageois,Glandageois,,11
granois,Granois,,7
grangeois,Grangeois,,9
grignanais,Grignanais,,10
gumianais,Gumianais,,9
hauterivois,Hauterivois,,11
hostunois,Hostunois,,9
izonais,Izonais,,7
jaillanais,Jaillanais,,10
joncherois,Jonchérois,,10
batillonnais,Bâtillonnais,,12
batisien,Bâtisien,,8
balmois,Balmois,,7
baumois,Baumois,,7
baumois,Baumois,,7
begudien,Bégudien,,8
chapelain,Chapelain,,9
charcois,Charçois,,8
chaudierois,Chaudièrois,,11
coucourdois,Coucourdois,,11
lagardien,Lagardien,,9
laupiard,Laupiard,,8
la-mottois,"La Mottois",
la-mottois,"La Mottois",
fanjamotteux,Fanjamotteux,,12
pennois,Pennois,,7
la-reparois,"La Réparois",
rochelain,Rochelain,,9
rochois,Rochois,,7
rochois,Rochois,,7
rochettais,Rochettais,,10
toscadin,Toscadin,,8
laborelois,Laborelois,,10
chaupatier,Chaupatiers,,10
lapeyrousien,Lapeyrousien,,12
larnageois,Larnageois,,10
lavalaixois,Lavalaixois,,11
laveyronnais,Laveyronnais,,12
chaffalois,Chaffalois,,10
chalonnais,Chalonnais,,10
serrin,Serrin,,6
le-peguois,"Le Pèguois",
poeterot,Poëterot,,8
pouyetier,Pouyetiers,,9
poet-lavalien,Poët-Lavalien,
sigillatien,Sigillatien,,11
lempsois,Lempsois,,8
lenselois,Lenselois,,9
cellynois,Cellynois,,9
gontardien,Gontardien,,10
pillois,Pillois,,7
pratois,Pratois,,7
tonilien,Tonilien,,8
tourrettois,Tourrettois,,11
leschois,Leschois,,8
livronnais,Livronnais,,10
loriolais,Loriolais,,9
lucois,Lucois,,6
lussois,Lussois,,7
malatavernois,Malatavernois,,13
malissardois,Malissardois,,12
manasson,Manasson,,8
manthenois,Manthenois,,10
marchois,Marchois,,8
margessois,Margessois,,10
marignacois,Marignacois,,11
marsannais,Marsannais,,10
marsazien,Marsazien,,9
menglonnais,Menglonnais,,11
mercurolais,Mercurolais,,11
merindolais,Mérindolais,,11
mevouillonnais,Mévouillonnais,,14
mirabelais,Mirabelais,,10
blaconnais,Blaconnais,,10
miribelois,Miribelois,,10
mirmandais,Mirmandais,,10
misconais,Misconais,,9
molierois,Molièrois,,9
mollanais,Mollanais,,9
montalbanais,Montalbanais,,12
montaulieusais,Montaulieusais,,14
montboucherois,Montboucherois,,14
montbrisonnais,Montbrisonnais,,14
montbrunois,Montbrunois,,11
chenumontais,Chenumontais,,12
montclarois,Montclarois,,11
montelegeois,Montélégeois,,12
montelien,Montélien,,9
montilien,Montilien,,9
ferremontain,Ferrémontain,,12
montfrocois,Montfrocois,,11
montguerrois,Montguerrois,,12
montjevin,Montjevin,,9
montjoyerien,Montjoyerien,,12
montlaurdais,Montlaurdais,,12
montmaurois,Montmaurois,,11
montmeyranais,Montmeyranais,,13
montmiralois,Montmiralois,,12
montoisonnais,Montoisonnais,,13
montrealais,Montréalais,,11
rigaud-montain,Rigaud-Montain,
montsegurais,Montségurais,,12
montvendrois,Montvendrois,,12
morassien,Morassien,,9
mornansais,Mornansais,,10
moursois,Moursois,,8
mureillois,Mureillois,,10
nyonsais,Nyonsais,,8
omblezien,Omblèzien,,9
orcinassois,Orcinassois,,11
oroyen,Oroyens,,6
ourchois,Ourchois,,8
parnanais,Parnanais,,9
pelonnais,Pelonnais,,9
pennois,Pennois,,7
peyrinois,Peyrinois,,9
peyrusien,Peyrusien,,9
piegonnais,Piègonnais,,10
clastrois,Clastrois,,9
pierrelattin,Pierrelattin,,12
pierrelonguais,Pierrelonguais,,14
plaisianais,Plaisianais,,11
planarudolphien,Planarudolphien,,15
pommerolois,Pommerolois,,11
ponetais,Ponetais,,8
ponsardier,Ponsardiers,,10
pontois,Pontois,,7
pont-d-iserois,"Pont d'Isérois",
pontaison,Pontaison,,9
portois,Portois,,7
portois,Portois,,7
poyolais,Poyolais,,8
pradellois,Pradellois,,10
propriacois,Propriacois,,11
puy-saint-martinois,Puy-Saint-Martinois,
puygironnais,Puygironnais,,12
ratierois,Ratièrois,,9
reauvillois,Réauvillois,,11
recoubeaulois,Recoubeaulois,,13
reilhanettois,Reilhanettois,,13
remuzatien,Rémuzatien,,10
rimondier,Rimondiers,,9
riomais,Riomais,,7
rochois,Rochois,,7
rochebaudinois,Rochebaudinois,,14
rochebrunois,Rochebrunois,,12
sinarupien,Sinarupien,,10
rochefortois,Rochefortois,,12
samsonnais,Samsonnais,,10
rochefourchatien,Rochefourchatien,,16
rochegudien,Rochegudien,,11
romanais,Romanais,,8
romeyais,Romeyais,,8
rottierois,Rottierois,,10
roussassien,Roussassien,,11
roussettois,Roussettois,,11
roussierais,Roussiérais,,11
regnaquain,Régnaquain,,10
sahunais,Sahunais,,8
saillanson,Saillanson,,10
saint-agnanais,Saint-Agnanais,
saint-andeolais,Saint-Andéolais,
saint-aubannais,Saint-Aubannais,
saint-avitois,Saint-Avitois,
bardousien,Bardousien,,10
saint-barthelemien,Saint-Barthélémien,
saint-benedictin,Saint-Bénédictin,
saint-bonnetaire,Saint-Bonnetaires,
saint-christophois,Saint-Christophois,
saint-dizierois,Saint-Dizièrois,
donatien,Donatien,,8
saint-ferreolais,Saint-Ferréolais,
saint-gervaisien,Saint-Gervaisien,
saint-jeannais,Saint-Jeannais,
quintou,Quintou,,7
saint-julienois,Saint-Julienois,
onay,Onays,,4
lauroyen,Lauroyens,,8
saint-marcelou,Saint-Marcelou,
saint-marcelois,Saint-Marcelois,
saint-martinois,Saint-Martinois,
saint-martinois,Saint-Martinois,
columartin,Columartin,,10
saint-mauricien,Saint-Mauricien,
saint-mayen,Saint-Mayens,
saint-michellois,Saint-Michellois,
saint-nazairien,Saint-Nazairien,
saint-nazairais,Saint-Nazairais,
saint-pantaleonais,Saint-Pantaléonais,
saint-paulois,Saint-Paulois,
tricastin,Tricastin,,9
rambertois,Rambertois,,10
saint-restitutien,Saint-Restitutien,
saint-romanien,Saint-Romanien,
salvatorien,Salvatorien,,11
saint-savorien,Saint-Savorien,
saint-sorlinois,Saint-Sorlinois,
saint-thomassois,Saint-Thomassois,
saint-uzien,Saint-Uzien,
valloirien,Valloirien,,10
commanderien,Commandérien,,12
sainte-crucien,Sainte-Crucien,
aulayen,Aulayens,,7
saint-euphemien,Saint-Euphémien,
sainte-jallois,Sainte-Jallois,
salettois,Salettois,,9
sallois,Sallois,,7
saonien,Saônien,,7
saulcois,Saulçois,,8
sauzillard,Sauzillard,,10
savasson,Savasson,,8
sederonnais,Séderonnais,,11
servois,Servois,,7
saint-raphaelois,Saint-Raphaëlois,
souspierrois,Souspierrois,,12
soyanais,Soyanais,,8
suzois,Suzois,,6
suzien,Suzien,,6
tainois,Tainois,,7
taulignanais,Taulignanais,,12
tersannois,Tersannois,,10
teyssierois,Teyssièrois,,11
treschenoux,Treschenoux,,11
triorais,Triorais,,8
truinasien,Truinasien,,10
tulettien,Tulettien,,9
upien,Upien,,5
vacherois,Vacherois,,9
maravelois,Maravelois,,10
valaurien,Valaurien,,9
valdromois,Valdrômois,,10
valentinois,Valentinois,,11
valousien,Valousien,,9
vassivain,Vassivain,,9
vaunaveysien,Vaunaveysien,,12
veaunois,Veaunois,,8
venterolais,Venterolais,,11
verchenois,Verchenois,,10
verclausien,Verclausien,,11
vercoiranois,Vercoiranois,,12
veronnois,Véronnois,,9
versois,Versois,,7
vescois,Vescois,,7
villeboisien,Villeboisien,,12
villefranchais,Villefranchais,,14
perdrissien,Perdrissien,,11
vinsobrais,Vinsobrais,,10
volventier,Volventiers,,10
aclouais,Aclouais,,8
aconnais,Aconnais,,8
acquignicien,Acquignicien,,12
aiglevillois,Aiglevillois,,12
aillytien,Aillytien,,9
aizierois,Aiziérois,,9
ajoucien,Ajoucien,,8
alizeen,Alizéen,,7
ambenaysien,Ambenaysien,,11
amecourtois,Amécourtois,,11
amfrevillais,Amfrevillais,,12
amfrevillais,Amfrevillais,,12
amfrevillais,Amfrevillais,,12
amfrevillois,Amfrevillois,,12
andeen,Andéen,,6
angervillais,Angervillais,,12
appevillais,Appevillais,,11
armentierois,Armentiérois,,12
arnierois,Arniérois,,9
asnierois,Asniérois,,9
albavien,Albavien,,8
aulnaysien,Aulnaysien,,10
altolien,Altolien,,8
authevernois,Authevernois,,12
authonien,Authonien,,9
avironnais,Avironnais,,10
avrillais,Avrillais,,9
bacquepuisien,Bacquepuisien,,13
bacquevillais,Bacquevillais,,13
bailleullois,Bailleullois,,12
balinois,Bâlinois,,8
barcois,Barcois,,7
barnevillais,Barnevillais,,12
barquetais,Barquetais,,10
barvillais,Barvillais,,10
bazincourtois,Bazincourtois,,13
bazoquais,Bazoquais,,9
beaubraysien,Beaubraysien,,12
beauficelois,Beauficelois,,12
beaumesnilois,Beaumesnilois,,13
beaumontais,Beaumontais,,11
beaumontelois,Beaumontelois,,13
bemecourtois,Bémécourtois,,12
berengevillais,Bérengevillais,,14
bernayen,Bernayens,,8
bernienvillois,Bernienvillois,,14
bernierois,Berniérois,,10
bernouvillois,Bernouvillois,,13
berthenonvillois,Berthenonvillois,,16
berthouvillais,Berthouvillais,,14
bervillais,Bervillais,,10
bervillois,Bervillois,,10
bervillais,Bervillais,,10
beuzevillais,Beuzevillais,,12
bacivien,Bacivien,,8
bacivien,Bacivien,,8
arnaucien,Arnaucien,,9
sylviregicien,Sylvirégicien,,13
bois-normantois,Bois-Normantois,
boisemontais,Boisemontais,,12
boisneyen,Boisneyens,,9
buis-prevenchais,Buis-Prévenchais,
boisseen,Boisséen,,8
boncourtois,Boncourtois,,11
bonnevillais,Bonnevillais,,12
bosc-renoulthien,Bosc-Renoulthien,
bosguerrois,Bosguerrois,,11
bosguevillais,Bosguevillais,,13
bosnormandois,Bosnormandois,,13
bosquentinois,Bosquentinois,,13
bosrobertois,Bosrobertois,,12
bouaflais,Bouaflais,,9
bouchevillois,Bouchevillois,,13
boullevillais,Boullevillais,,13
bouquelonnais,Bouquelonnais,,13
bouquetotois,Bouquetotois,,12
achard-bourgeois,Achard-Bourgeois,
beaudinois,Beaudinois,,10
therouldebourgeois,Thérouldebourgeois,,18
bournainvillaises-faverollais,Bournainvillais-Faverollais,
bournevillais,Bournevillais,,13
bourthois,Bourthois,,9
brayen,Brayens,,6
brestotois,Brestotois,,10
bretagnollais,Bretagnollais,,13
bretolien,Bretolien,,9
bretignacien,Brétignacien,,12
breuilpontais,Breuilpontais,,13
bredien,Brédien,,7
brionnais,Brionnais,,9
broglien,Broglien,,8
brosvillais,Brosvillais,,11
bueillois,Bueillois,,9
buxeen,Buxéen,,6
bureyois,Bureyois,,8
bussien,Bussien,,7
cahaignois,Cahaignois,,10
caillouettais,Caillouettais,,13
calliacien,Calliacien,,10
callevillais,Callevillais,,12
campignais,Campignais,,10
canappevillais,Canappevillais,,14
cantelais,Cantelais,,9
caorchais,Caorchais,,9
capellais,Capellais,,9
carsixien,Carsixien,,9
caugeen,Caugéen,,7
caumontais,Caumontais,,10
cauvervillais,Cauvervillais,,13
cessevillais,Cessevillais,,12
chaignais,Chaignais,,9
casadeen,Casadéen,,8
chamblacais,Chamblacais,,11
chambordais,Chambordais,,11
chambraysien,Chambraysien,,12
champ-dolentais,Champ-Dolentais,
champenardais,Champenardais,,13
champignollais,Champignollais,,14
chanteloupais,Chanteloupais,,13
charlevalais,Charlevalais,,12
casteleptien,Casteleptien,,12
chauvincourtoises-provemontois,Chauvincourtois-Provemontois,
chennebrunois,Chennebrunois,,13
cheronvilliageois,Chéronvilliageois,,17
cierrois,Cierrois,,8
cintrayais,Cintrayais,,10
civierois,Civiérois,,9
clavillais,Clavillais,,10
collandrais,Collandrais,,11
colletotois,Colletotois,,11
combonnais,Combonnais,,10
conchois,Conchois,,8
condien,Condien,,7
condeen,Condéen,,7
connellois,Connellois,,10
contevillais,Contevillais,,12
cormeillais,Cormeillais,,11
corneuillais,Corneuillais,,12
cornefouquois,Cornefouquois,,13
cornevillais,Cornevillais,,12
coudrais,Coudrais,,8
courbepinais,Courbépinais,,12
courcellois,Courcellois,,11
courdemanchais,Courdemanchais,,14
courteillois,Courteillois,,12
crasvillais,Crasvillais,,11
crestotais,Crestotais,,10
criquebeuvais,Criquebeuvais,,13
criquebeuvien,Criquebeuvien,,13
croisillon,Croisillon,,10
crosvillais,Crosvillais,,11
crothois,Crothois,,8
cuvervillois,Cuvervillois,,12
marie-damien,Marie-Damien,
dampsmesnilien,Dampsmesnilien,,14
damvillais,Damvillais,,10
dangerois,Dangérois,,9
dardezien,Dardezien,,9
daubeufais,Daubeufais,,10
daubeuvien,Daubeuvien,,10
dunien,Dunien,,6
doudeauvillais,Doudeauvillais,,14
douvillais,Douvillais,,10
drucourtois,Drucourtois,,11
duranvillais,Duranvillais,,12
ecaquelonais,Ecaquelonais,,12
ecardenvillais,Ecardenvillais,,14
ecardenvillais,Ecardenvillais,,14
ecauvillais,Ecauvillais,,11
ecosien,Ecosien,,7
escovien,Escovien,,8
ecquetotais,Ecquetotais,,11
emallevillais,Emallevillais,,13
emanvillais,Emanvillais,,11
epagnol,Epagnols,,7
epegardais,Epégardais,,10
epidonien,Epidonien,,9
epinayen,Epinayens,,8
eprevillais,Eprevillais,,11
eprevillais,Eprevillais,,11
eprevillais,Eprevillais,,11
sterpinacien,Sterpinacien,,12
etrevillais,Etrévillais,,11
sturcretin,Sturcretin,,10
ebroicien,Ebroïcien,,9
ezeen,Ezéen,,5
farcelien,Farcelien,,9
fatouvillais,Fatouvillais,,12
fauvillais,Fauvillais,,10
faverollais,Faverollais,,11
ferrierois,Ferriérois,,10
ferrierois,Ferriérois,,10
feuguerollais,Feuguerollais,,13
equainvillais,Equainvillais,,13
flancourtoises-catelonnais,Flancourtois-Catelonnais,
fleurysien,Fleurysien,,10
fleurysien,Fleurysien,,10
filipipinghien,Filipipinghien,,14
follevillais,Follevillais,,12
berengeois,Bérengeois,,10
hildebourgeois,Hildebourgeois,,14
fontenois,Fontenois,,9
lupifontain,Lupifontain,,11
fontainois,Fontainois,,10
jovifontain,Jovifontain,,11
fontenayen,Fontenayens,,10
fort-movillais,Fort-Movillais,
foucrainvillais,Foucrainvillais,,15
foulbecais,Foulbecais,,10
fouquevillais,Fouquevillais,,13
fourgien,Fourgien,,8
fourmetotois,Fourmetotois,,12
foursais,Foursais,,8
franchevillais,Franchevillais,,14
franquevillais,Franquevillais,,14
freneusien,Freneusien,,10
fresnais,Fresnais,,8
frexinois,Frexinois,,9
fresneyais,Fresneyais,,10
gadencourtois,Gadencourtois,,13
gaillardboisien,Gaillardboisien,,15
gaillonnais,Gaillonnais,,11
gamachais,Gamachais,,9
garennais,Garennais,,9
ganytois,Ganytois,,8
gaucielois,Gaucielois,,10
gaudrevillais,Gaudrevillais,,13
gauvillais,Gauvillais,,10
gisayais,Gisayais,,8
gisorsien,Gisorsien,,9
givernois,Givernois,,9
givervillais,Givervillais,,12
glisollois,Glisollois,,10
glosien,Glosien,,7
goupillerois,Goupillérois,,12
gournayais,Gournayais,,10
gouttierois,Gouttiérois,,11
gouvillais,Gouvillais,,10
grainvillois,Grainvillois,,12
grand-campois,Grand-Campois,
grandchinois,Grandchinois,,12
grandvillois,Grandvillois,,12
graveron-semervillais,Graveron-Sémervillais,
gravignois,Gravignois,,10
grosleyen,Grosleyens,,9
grandisylvain,Grandisylvain,,13
guernanvillais,Guernanvillais,,14
guernysien,Guernysien,,10
guichainvillais,Guichainvillais,,15
guisenois,Guisenois,,9
guitricien,Guitricien,,10
hacquevillais,Hacquevillais,,13
harcourtois,Harcourtois,,11
hardencourtois,Hardencourtois,,14
harquenceen,Harquencéen,,11
hauvillais,Hauvillais,,10
hebecourtois,Hébécourtois,,12
hecmanvillais,Hecmanvillais,,13
hecourtais,Hécourtais,,10
hectomarien,Hectomarien,,11
aniseyen,Aniseyens,,8
herquevillais,Herquevillais,,13
heubecourtois,Heubécourtois,,13
heudebouvillais,Heudebouvillais,,15
heudicourtois,Heudicourtois,,13
heudrevillais,Heudrevillais,,13
heudrevillais,Heudrevillais,,13
heuquevillais,Heuquevillais,,13
hondouvillais,Hondouvillais,,13
honguemarais,Honguemarais,,12
houettevillais,Houettevillais,,14
houlbecquois,Houlbecquois,,12
houlbecois,Houlbécois,,10
houvillais,Houvillais,,10
huestois,Huestois,,8
igovillais,Igovillais,,10
illevillais,Illevillais,,11
illiennes-episcopi,Illiennes-Episcopi,
incarvillais,Incarvillais,,12
irrevillais,Irrevillais,,11
ivillois,Ivillois,,8
ivryen,Ivryens,,6
jonquerois,Jonquérois,,10
jovicien,Jovicien,,8
juignettois,Juignettois,,11
jumellois,Jumellois,,9
l-habitais,L'Habitais,,10
l-hosmois,L'Hosmois,,9
barrois,Barrois,,7
buxerien,Buxérien,,8
bonnevillois,Bonnevillois,,12
chapellais,Chapellais,,10
chapellois,Chapellois,,10
reanvillois,Réanvillois,,11
couturiot,Couturiot,,9
croisillais,Croisillais,,11
cruxileufroyen,Cruxileufroyens,,14
ferrislois,Ferrislois,,10
goulafrierois,Goulafriérois,,13
guerouldois,Guérouldois,,11
harengerois,Harengérois,,11
aubrien,Aubrien,,7
hayaises-callevillais,Hayais-Callevillais,
hayonnes-routotois,Hayons-Routotois,
hayaises-theillais,Hayais-Theillais,
haye-le-comtois,Haye-le-Comtois,
malherbois,Malherbois,,10
saint-sylverstree,Saint-Sylverstrée,
heunierois,Heuniérois,,10
houssayen,Houssayens,,9
landais,Landais,,7
madeleinois,Madeleinois,,11
neuve-grangeais,Neuve-Grangeais,
lyrois,Lyrois,,6
neuvillois,Neuvillois,,10
pylois,Pylois,,6
roussierois,Roussiérois,,11
saulceen,Saulcéen,,8
trinitain,Trinitain,,9
trinirevillais,Trinirévillais,,14
trinitais,Trinitais,,9
vacherois,Vacherois,,9
lyrois,Lyrois,,6
landepereusais,Landepéreusais,,14
launayen,Launayens,,8
bexien,Bexien,,6
thomasien,Thomasien,,9
roge-bourgeron,Roge-Bourgeron,
boulay-morinois,Boulay-Morinois,
cormierais,Cormiérais,,10
faverollais,Faverollais,,11
fidelairien,Fidelairien,,11
fresnois,Fresnois,,8
gros-theillais,Gros-Theillais,
landinois,Landinois,,9
mesnilais,Mesnilais,,9
neubourgeois,Neubourgeois,,12
noyerois,Noyerois,,8
planquayen,Planquayens,,10
grohannais,Grohannais,,10
sacquois,Sacquois,,8
tinolentais,Tinolentais,,11
thillois,Thillois,,8
thuit-angevin,Thuit-Angevin,
thuit-signolais,Thuit-Signolais,
thuit-simerien,Thuit-Simérien,
tilleul-othonnais,Tilleul-Othonnais,
torptais,Torptais,,8
tronquois,Tronquois,,9
valdavidien,Valdavidien,,11
valderolien,Valderolien,,11
lerysien,Lérysien,,8
andelysien,Andelysien,,10
autheusien,Autheusien,,10
barilois,Barilois,,8
bauxicrussien,Bauxicrussien,,13
botteratien,Botteratien,,11
dampsois,Dampsois,,8
essartais,Essartais,,9
hoguais,Hoguais,,7
placois,Plaçois,,7
preausien,Préausien,,9
thillierois,Thillierois,,11
ventois,Ventois,,7
letteguivien,Letteguivien,,12
leucoroyaltais,Leucoroyaltais,,14
lignerollais,Lignerollais,,12
lilliacien,Lilliacien,,10
lisorcien,Lisorcien,,9
livetais,Livetais,,8
longchampain,Longchampain,,12
lorleen,Lorléen,,7
louverseyen,Louverseyens,,11
loverien,Lovérien,,8
louyais,Louyais,,7
lyonsais,Lyonsais,,8
mainnevillois,Mainnevillois,,13
mallevillais,Mallevillais,,12
mandevillais,Mandevillais,,12
mandrais,Mandrais,,8
mannevillais,Mannevillais,,12
mannevillais,Mannevillais,,12
manthelonnais,Manthelonnais,,13
maraiquais,Maraiquais,,10
marbeuvien,Marbeuvien,,10
marcillucien,Marcillucien,,12
martainvillais,Martainvillais,,14
martotais,Martotais,,9
melicourtois,Mélicourtois,,12
menesquevillais,Menesquevillais,,15
menillon,Ménillon,,8
mennevalais,Mennevalais,,11
merceyen,Merceyens,,8
mereyen,Mereyens,,7
mesnil-roussetais,Mesnil-Roussetais,
mesnilois,Mesnilois,,9
mesnilois,Mesnilois,,9
verclivois,Verclivois,,10
macerien,Macérien,,8
miserois,Misérois,,8
moisvillois,Moisvillois,,11
montaurois,Montaurois,,10
montfortais,Montfortais,,11
montreuillais,Montreuillais,,13
morainvillais,Morainvillais,,13
morgnysien,Morgnysien,,10
morsanais,Morsanais,,9
mouettais,Mouettais,,9
mouflainois,Mouflainois,,11
muidsien,Muidsien,,8
nagelois,Nagelois,,8
nassandrais,Nassandrais,,11
neovergnien,Néovergnien,,11
neaufleen,Neaufléen,,9
neuvillais,Neuvillais,,10
noardais,Noardais,,8
nogentais,Nogentais,,9
nojeonnais,Nojeonnais,,10
nonancourtois,Nonancourtois,,13
normanvillais,Normanvillais,,13
islois,Islois,,6
hamellien,Hamellien,,9
ormais,Ormais,,6
orvauxien,Orvauxien,,9
paceen,Pacéen,,6
panillois,Panillois,,9
parvillais,Parvillais,,10
perricampois,Perricampois,,12
pirisien,Pirisien,,8
perruelien,Perruelien,,10
piencourtois,Piencourtois,,12
pintervillais,Pintervillais,,13
pisotin,Pisotin,,7
pitrien,Pitrien,,7
plainvillais,Plainvillais,,12
plasnais,Plasnais,,8
pont-audemerien,Pont-Audemérien,
authoupontois,Authoupontois,,13
archepontain,Archepontain,,12
petripontain,Pétripontain,,12
port-mortais,Port-Mortais,
porte-joyeux,Porte-Joyeux,
portois,Portois,,7
posien,Posien,,6
pressecagnien,Pressecagnien,,13
preyen,Preyens,,6
pucheen,Puchéen,,7
pullaysien,Pullaysien,,10
quatremarois,Quatremarois,,12
quessignyssien,Quessignyssien,,14
quillebois,Quillebois,,10
quittebeuvien,Quittebeuvien,,13
ratispontain,Ratispontain,,12
rennevillois,Rennevillois,,12
richevillois,Richevillois,,12
romanais,Romanais,,8
romillon,Romillon,,8
romillois,Romillois,,9
rosayen,Rosayens,,7
rubimonasterien,Rubimonastérien,,15
routotois,Routotois,,9
ruglois,Ruglois,,7
sacquenvillais,Sacquenvillais,,14
agnanais,Agnanais,,8
saint-amandais,Saint-Amandais,
andresien,Andrésien,,9
antoninien,Antoninien,,10
saint-aquilinois,Saint-Aquilinois,
saint-aubinois,Saint-Aubinois,
saint-aubinois,Saint-Aubinois,
saint-aubinois,Saint-Aubinois,
saint-aubinois,Saint-Aubinois,
saint-aubinois,Saint-Aubinois,
saint-aubinois,Saint-Aubinois,
saint-christophien,Saint-Christophien,
saint-christophien,Saint-Christophien,
saint-cyrien,Saint-Cyrien,
saint-cyrien,Saint-Cyrien,
denisien,Denisien,,8
dyonisien,Dyonisien,,9
saint-desirien,Saint-Désirien,
elierois,Eliérois,,8
eligien,Eligien,,7
stephanois,Stéphanois,,10
stephanois,Stéphanois,,10
saint-georgien,Saint-Georgien,
georgien,Géorgien,,8
saint-germinois,Saint-Germinois,
saint-gregorien,Saint-Grégorien,
thennesien,Thennesien,,10
saint-justin,Saint-Justin,
saint-laurentais,Saint-Laurentais,
laurentin,Laurentin,,9
legerotois,Légerôtois,,10
leogardien,Léogardien,,10
malouin,Malouin,,7
saint-marcellois,Saint-Marcellois,
flavinien,Flavinien,,9
saint-martinois,Saint-Martinois,
saint-martinois,Saint-Martinois,
saint-meslinois,Saint-Meslinois,
attesien,Attesien,,8
saint-ouennais,Saint-Ouennais,
thoubervillais,Thoubervillais,,14
audoenien,Audoénien,,9
saint-philibertin,Saint-Philibertin,
saint-philbertois,Saint-Philbertois,
petrusien,Pétrusien,,9
saint-bailleulais,Saint-Bailleulais,
sarnierien,Sarnierien,,10
saint-corpierais,Saint-Corpierais,
saint-pierrais,Saint-Pierrais,
saint-pierrais,Saint-Pierrais,
saint-pierrais,Saint-Pierrais,
saint-pierrois,Saint-Pierrois,
saint-quentinois,Saint-Quentinois,
roquais,Roquais,,7
sebamorsentin,Sébamorsentin,,13
saint-simeonais,Saint-Siméonais,
grimbaldien,Grimbaldien,,11
saint-victorien,Saint-Victorien,
christovictorien,Christovictorien,,16
saint-victorien,Saint-Victorien,
santicrutien,Santicrutien,,12
genovefain,Génovéfain,,10
altamarguais,Altamarguais,,12
marguaritain,Marguaritain,,12
saint-marthois,Saint-Marthois,
sancourtois,Sancourtois,,11
saceen,Sacéen,,6
sellois,Sellois,,7
serezais,Sérezais,,8
serquignacais,Serquignaçais,,13
surtauvillais,Surtauvillais,,13
survillais,Survillais,,10
sylvain,Sylvain,,7
theillementais,Theillementais,,14
thevrayen,Thevrayens,,9
thibervillais,Thibervillais,,13
thibouvillais,Thibouvillais,,13
thiervillais,Thiervillais,,12
thomerois,Thomerois,,9
hebertois,Hébertois,,9
tillolais,Tillolais,,9
tillierois,Tilliérois,,10
tilleulois,Tilleulois,,10
tocquevillais,Tocquevillais,,13
tosnysien,Tosnysien,,9
tostais,Tostais,,7
touffrevillais,Touffrevillais,,14
tournubertais,Tournubertais,,13
tournedosien,Tournedosien,,12
tournevillais,Tournevillais,,13
tornacien,Tornacien,,9
tourvillais,Tourvillais,,11
tourvillais,Tourvillais,,11
toutainvillais,Toutainvillais,,14
touvillais,Touvillais,,10
triquevillais,Triquevillais,,13
trouvillais,Trouvillais,,11
rolivalois,Rolivalois,,10
valaillais,Valaillais,,10
valletotais,Valletotais,,11
vandrimarais,Vandrimarais,,12
vannecrocquais,Vannecrocquais,,14
vascoeuillais,Vascoeuillais,,13
vattevillais,Vattevillais,,12
venablois,Venablois,,9
vernonnais,Vernonnais,,10
vernolien,Vernolien,,9
vernonnais,Vernonnais,,10
veslysien,Veslysien,,9
vezillonnais,Vézillonnais,,12
vieux-portais,Vieux-Portais,
villaletois,Villaletois,,11
villegatois,Villegatois,,11
villersien,Villersien,,10
villersois,Villersois,,10
villezois,Villezois,,9
villierois,Villierois,,10
vironvayen,Vironvayens,,10
vitotais,Vitotais,,8
voiscrevillais,Voiscrevillais,,14
vraivillais,Vraivillais,,11
abondantais,Abondantais,,11
allainois,Allainois,,9
allainvillois,Allainvillois,,13
allonnais,Allonnais,,9
avallosien,Avallosien,,10
amillien,Amillien,,8
anetais,Anétais,,7
ardellois,Ardellois,,9
argenvillois,Argenvillois,,12
arroutain,Arroutain,,9
alnelois,Alnelois,,8
aunaisien,Aunaisien,,9
